source,target
India,"Antiochus, Antiochos (misc)"
India,Patrocles (Macedonian general and geographer)
India,Megasthenes (geographer)
India,Dionysius (ambassador)
India,Ptolemy II Philadelphus (king) 
India,"Alexander III, the Great (general)"
India,"Dionysus (s. of Zeus), Bacchus"
India,"Alexander III, the Great (general)"
India,"Alexander III, the Great (general)"
India,Seneca
Indus,"Alexander III, the Great (general)"
Indus,Seleucus I Nicator s. Antiochus
Indus,"Antiochus, Antiochos (misc)"
Indus,Patrocles (Macedonian general and geographer)
Indus,Megasthenes (geographer)
Indus,Dionysius (ambassador)
Indus,Ptolemy II Philadelphus (king) 
Indus,"Alexander III, the Great (general)"
Indus,"Dionysus (s. of Zeus), Bacchus"
Indus,"Alexander III, the Great (general)"
Indus,"Alexander III, the Great (general)"
Indus,Seneca
Ganges,"Alexander III, the Great (general)"
Ganges,Seleucus I Nicator s. Antiochus
Ganges,"Antiochus, Antiochos (misc)"
Ganges,Patrocles (Macedonian general and geographer)
Ganges,Megasthenes (geographer)
Ganges,Dionysius (ambassador)
Ganges,Ptolemy II Philadelphus (king) 
Ganges,"Alexander III, the Great (general)"
Ganges,"Dionysus (s. of Zeus), Bacchus"
